Date,% Chg Real GDP,% Chg Nominal GDP,% Chg CPI,% Chg Currency in Circulation
4/1/2020,-8.99,-9.47,-272.35,5.24
1/1/2020,-1.26,-0.86,69.7,1.46
10/1/2019,0.59,0.96,36.82,1.4
7/1/2019,0.64,0.99,-68.44,1.13
4/1/2019,0.37,1.02,177.72,1.14
1/1/2019,0.73,0.98,7.91,1.01
10/1/2018,0.33,0.81,2518.85,1.34
7/1/2018,0.53,0.92,-98.3,1.68
4/1/2018,0.67,1.53,-27.03,1.91
1/1/2018,0.93,1.53,-961.93,1.64
10/1/2017,0.96,1.63,-8.39,1.41
7/1/2017,0.73,1.23,-123.26,1.42
4/1/2017,0.43,0.74,-49.11,2.5
1/1/2017,0.57,1.08,367.43,1.74
10/1/2016,0.63,1.12,-177.05,0.96
7/1/2016,0.54,0.89,-134.13,1.22
4/1/2016,0.31,1.01,186.8,2.02
1/1/2016,0.57,0.5,-467.61,1.75
10/1/2015,0.16,0.17,-770.7,1.6
7/1/2015,0.36,0.68,-96.7,0.74
4/1/2015,0.68,1.22,-143.2,2.02
1/1/2015,0.95,0.86,87.32,2.9
10/1/2014,0.56,0.72,543.85,0.83
7/1/2014,1.22,1.66,-111.84,1.17
4/1/2014,1.35,1.92,-11.38,3.25
1/1/2014,-0.28,0.13,-244.46,1.29
10/1/2013,0.8,1.39,-753.63,1.5
7/1/2013,0.78,1.27,-137.9,1.52
4/1/2013,0.12,0.41,-135.15,1.69
1/1/2013,0.89,1.29,-860.38,2.13
10/1/2012,0.11,0.63,-76.14,1.92
7/1/2012,0.13,0.65,-153.95,1.24
4/1/2012,0.43,0.83,-31.34,2.84
1/1/2012,0.78,1.41,-313.32,2.58
10/1/2011,1.16,1.31,-332.8,1.24
7/1/2011,-0.03,0.62,-86.24,1.98
4/1/2011,0.71,1.38,35.19,3.12
1/1/2011,-0.24,0.3,282.53,1.93
10/1/2010,0.5,1.07,490.02,1.69
7/1/2010,0.74,1.03,-87.85,1.05
4/1/2010,0.92,1.39,-49.18,1.49
1/1/2010,0.38,0.64,254.84,0.68
10/1/2009,1.1,1.44,-160.74,0.56
7/1/2009,0.36,0.47,-163.52,0.71
4/1/2009,-0.14,-0.29,-42.64,1.92
1/1/2009,-1.12,-1.13,-143.09,4.09
10/1/2008,-2.16,-1.86,-292.37,2.58
7/1/2008,-0.54,0.2,-13.42,2.03
4/1/2008,0.52,1.06,22.01,-0.16
1/1/2008,-0.57,-0.21,132.36,0.16
10/1/2007,0.61,1.01,-940.95,0
7/1/2007,0.54,1.06,-103.92,0.78
4/1/2007,0.57,1.22,112.81,0.04
1/1/2007,0.24,1.22,-156.31,1.61
10/1/2006,0.85,1.22,-283.33,-0.04
7/1/2006,0.15,0.86,-65.25,0.49
4/1/2006,0.23,1.07,11.63,0.76
1/1/2006,1.33,2.04,278.81,2.08
10/1/2005,0.63,1.44,-56.52,0.76
7/1/2005,0.89,1.8,-31.2,1.25
4/1/2005,0.46,1.17,219.96,0.56
1/1/2005,1.11,1.91,-60.08,1.12
10/1/2004,1,1.78,-432.98,0.98
7/1/2004,0.95,1.61,-149.39,2.39
4/1/2004,0.76,1.58,-34.44,0.45
1/1/2004,0.53,1.28,-552.2,1.71
10/1/2003,1.15,1.75,-199.19,1.08
7/1/2003,1.7,2.25,-150.14,1.02
4/1/2003,0.86,1.16,-149.1,1.33
1/1/2003,0.55,1.01,166.81,2.34
10/1/2002,0.15,0.72,49.09,0.26
7/1/2002,0.44,0.91,-80.12,2.69
4/1/2002,0.61,0.97,147.06,1.43
1/1/2002,0.87,1.21,-167.27,3.15
10/1/2001,0.27,0.6,19.8,2.35
7/1/2001,-0.42,-0.01,-170.71,2.23
4/1/2001,0.58,1.19,-37.16,0.6
1/1/2001,-0.29,0.32,266.03,2.27
10/1/2000,0.62,1.16,-25.56,0.12
7/1/2000,0.13,0.7,297.22,1.08
4/1/2000,1.83,2.45,-80.34,-4.13
1/1/2000,0.36,1.05,66.27,6.9
10/1/1999,1.7,2.25,-40.61,3.2
7/1/1999,1.31,1.66,-58.63,2.83
4/1/1999,0.77,1.14,198,1.7
1/1/1999,0.95,1.33,-0.18,2.84
10/1/1998,1.62,1.9,99.27,2.16
7/1/1998,1.25,1.69,-33.66,2.04
4/1/1998,0.93,1.16,-0.55,0.44
1/1/1998,1,1.15,-25.05,2.91
10/1/1997,0.86,1.19,98.88,1.08
7/1/1997,1.25,1.69,-0.19,2.22
4/1/1997,1.66,1.87,-60.35,0.59
1/1/1997,0.65,1.25,-0.5,2.45
10/1/1996,1.04,1.58,65.5,1.07
7/1/1996,0.9,1.23,-50.32,2.37
4/1/1996,1.67,2.09,-34.28,0.1
1/1/1996,0.75,1.23,79.65,1.53
10/1/1995,0.68,1.16,#DIV/0!,0.19
7/1/1995,0.85,1.35,-100,1.38
4/1/1995,0.3,0.78,-17.6,1.48
1/1/1995,0.35,0.9,498.8,2.62
10/1/1994,1.15,1.69,-75.23,1.54
7/1/1994,0.58,1.16,98.92,3.29
4/1/1994,1.36,1.84,-50.48,2.2
1/1/1994,0.97,1.45,-33.65,2.72
10/1/1993,1.36,1.91,#DIV/0!,2.05
7/1/1993,0.48,1.07,-100,3.22
4/1/1993,0.58,1.18,-43.53,1.54
1/1/1993,0.17,0.73,39.41,3.09
10/1/1992,1.04,1.74,65.37,2.2
7/1/1992,0.99,1.48,49.04,2.62
4/1/1992,1.08,1.69,-1.01,0.73
1/1/1992,1.2,1.57,-0.51,2.54
10/1/1991,0.35,0.94,-0.87,0.82
7/1/1991,0.51,1.29,-0.74,2.05
4/1/1991,0.78,1.52,-75.22,1.02
1/1/1991,-0.47,0.51,-0.82,3.64
10/1/1990,-0.91,-0.17,56.62,2.12
7/1/1990,0.07,0.92,147.69,3.46
4/1/1990,0.36,1.49,-84.93,1.21
1/1/1990,1.09,2.18,114.78,3.05
10/1/1989,0.2,0.91,98.56,-0.28
7/1/1989,0.74,1.48,-63.04,2.5
4/1/1989,0.76,1.84,31.37,0.08
1/1/1989,1.02,2.07,49.13,2.74
10/1/1988,1.33,2.21,-21.2,0.47
7/1/1988,0.59,1.79,-17.73,3.42
4/1/1988,1.31,2.3,98.11,0.75
1/1/1988,0.52,1.31,-0.35,3.52
10/1/1987,1.72,2.53,-1.3,1.11
7/1/1987,0.87,1.63,-50.62,3.24
4/1/1987,1.08,1.78,-15.51,0.77
1/1/1987,0.75,1.39,598.1,2.87
10/1/1986,0.54,1.08,#DIV/0!,0.7
7/1/1986,0.96,1.37,-100,3.29
4/1/1986,0.45,0.83,-166.97,0.57
1/1/1986,0.93,1.44,-25.69,2.28
10/1/1985,0.74,1.31,98.71,0.85
7/1/1985,1.53,2.14,-60.45,3.54
4/1/1985,0.88,1.53,147.42,0.56
1/1/1985,0.97,1.97,-33.52,1.93
10/1/1984,0.82,1.57,-25.93,0.23
7/1/1984,0.96,1.86,-20.85,3.4
4/1/1984,1.73,2.6,-17.72,0.83
1/1/1984,1.95,2.99,98.82,2.8
10/1/1983,2.09,2.86,-25.89,1.29
7/1/1983,2,3.08,-43.78,3.51
4/1/1983,2.28,3.04,248.93,1.82
1/1/1983,1.32,2.08,-33.13,2.39
10/1/1982,0.04,1.08,-40.55,1.01
7/1/1982,-0.38,1.03,21.78,3.4
4/1/1982,0.46,1.76,32.63,0.7
1/1/1982,-1.55,-0.2,48.72,2.73
10/1/1981,-1.09,0.62,-80.56,0.22
7/1/1981,1.2,3.1,62.8,2.89
4/1/1981,-0.74,1.23,-16.42,0.82
1/1/1981,1.96,4.64,-14.83,2.29
10/1/1980,1.86,4.52,#DIV/0!,1.95
7/1/1980,-0.12,2.11,-100,3.72
4/1/1980,-2.06,0.27,-21.65,0.57
1/1/1980,0.31,2.42,78.31,2.67
10/1/1979,0.25,2.11,-27.31,1.78
7/1/1979,0.74,2.95,-3.46,3.88
4/1/1979,0.11,2.56,29.32,0.98
1/1/1979,0.18,2,-1.77,3.22
10/1/1978,1.34,3.42,17.65,1.68
7/1/1978,1.01,2.72,-2.76,3.68
4/1/1978,3.86,5.85,22.44,1.08
1/1/1978,0.32,1.78,97.75,3.34
10/1/1977,0,2.16,-34.09,1.44
7/1/1977,1.8,3.04,-41.19,3.4
4/1/1977,1.94,3.38,63.03,1.84
1/1/1977,1.18,2.81,-1.03,2.55
10/1/1976,0.72,2.53,-1.39,1.01
7/1/1976,0.55,1.85,47.62,3.24
4/1/1976,0.73,1.75,98.57,2
1/1/1976,2.25,3.33,-67.21,2.91
10/1/1975,1.35,3.04,-50.92,0.73
7/1/1975,1.71,3.51,194.96,4.2
4/1/1975,0.71,2.21,-1.52,0.9
1/1/1975,-1.22,1.03,-61,2.77
10/1/1974,-0.39,2.54,21.05,1.47
7/1/1974,-0.95,1.96,95.1,3.32
4/1/1974,0.24,2.61,-51.67,1.69
1/1/1974,-0.86,1.01,-2.16,3.05
10/1/1973,0.95,2.96,291.15,0.73
7/1/1973,-0.53,1.41,-67.35,3.48
4/1/1973,1.09,2.64,194.46,1.23
1/1/1973,2.47,3.66,-50.47,3
10/1/1972,1.67,2.97,-0.95,1.12
7/1/1972,0.94,1.91,98.56,3.29
4/1/1972,2.27,2.91,#DIV/0!,0.83
1/1/1972,1.84,3.39,-100,1.52
10/1/1971,0.24,1.07,-0.49,0.68
7/1/1971,0.82,1.85,-1.48,3.7
4/1/1971,0.54,1.86,#DIV/0!,0.89
1/1/1971,2.72,4.28,-100,1.99
10/1/1970,-1.07,0.23,-1.02,0.73
7/1/1970,0.92,1.75,-34.36,3.59
4/1/1970,0.14,1.54,196.07,0.19
1/1/1970,-0.15,1.26,-50.8,1.93
10/1/1969,-0.49,0.8,-1.35,0.97
7/1/1969,0.66,2.07,-1.37,3.01
4/1/1969,0.3,1.58,96.68,-0.2
1/1/1969,1.57,2.61,-50.56,2.46
10/1/1968,0.39,1.81,-1.14,1.25
7/1/1968,0.77,1.76,97.69,3
4/1/1968,1.67,2.74,-50.58,0.43
1/1/1968,2.04,3.17,98.23,2.2
10/1/1967,0.75,1.87,-0.89,0.89
7/1/1967,0.95,1.91,-0.9,2.73
4/1/1967,0.06,0.57,#DIV/0!,-0.45
1/1/1967,0.89,1.3,-100,2.08
10/1/1966,0.82,1.67,98.17,0.7
7/1/1966,0.85,1.82,-50.46,2.88
4/1/1966,0.34,1.16,#DIV/0!,0
1/1/1966,2.43,3.09,-100,2.21
10/1/1965,2.3,3.01,#DIV/0!,1.75
7/1/1965,2.22,2.62,-100,2.82
4/1/1965,1.26,1.73,#DIV/0!,-0.26
1/1/1965,2.42,2.94,#DIV/0!,1.82
10/1/1964,0.31,0.76,-100,1.05
7/1/1964,1.56,1.97,#DIV/0!,2.7
4/1/1964,1.09,1.32,#DIV/0!,0
1/1/1964,2.11,2.43,-100,2.21
10/1/1963,0.66,1.47,-0.33,1.12
7/1/1963,2.2,2.33,#DIV/0!,2.87
4/1/1963,1.12,1.3,#DIV/0!,0.29
1/1/1963,1.09,1.53,#DIV/0!,1.46
10/1/1962,0.33,0.53,-100,0.29
7/1/1962,1.23,1.44,-0.33,2.4
4/1/1962,0.9,1.07,#DIV/0!,-0.3
1/1/1962,1.78,2.31,#DIV/0!,1.52
10/1/1961,1.96,2.28,-100,0.61
7/1/1961,1.92,2.18,#DIV/0!,2.19
4/1/1961,1.7,1.93,#DIV/0!,-1.23
1/1/1961,0.68,0.89,-100,0.31
10/1/1960,-1.28,-0.99,#DIV/0!,0.31
7/1/1960,0.49,0.84,-100,1.26
4/1/1960,-0.54,-0.29,-200,-0.93
1/1/1960,,,,
