Date,Brazil_Export_China,Ayr,Alberta,Jasper,Ida Grove,St Joseph,USG,PNW,Barreirias,Sorriso,RioVerde,PontaGrossa,Rondonopolis,Parangua,Santos,Pecem,Ocean_USG,Ocean_PNW,Ocean_Canal,Ocean_Cape,DCV,TWC,MM,ILL,ST LOUIS,CINC,LOH,CAR-MEM,Para_Bunge,Santarem_Cargill,Santos_ADM,BRA_USD,Brazil_Export_China_log,Barreirias_log,Sorriso_log,RioVerde_log,Rondonopolis_log
1/1/2018,1314.3136,-0.8740000000000001,-0.7609999999999999,-0.8029999999999999,-0.7040000000000001,-0.467,0.5720000000000001,0.892,-0.91,-1.879,-0.7020000000000001,-0.005,-1.1520000000000001,0.722,0.794,1.413,1.07,0.61,1.13,0.89,0.08199999999999999,0.87,0.64,0.51,0.32,0.41,0.35,0.18,8.95,0.8,3.22,3.21,7.181069831148037,,,,
2/1/2018,4177.2385,-0.978,-0.861,-0.853,-0.7140000000000001,-0.55,0.445,0.804,-1.183,-2.093,-1.145,-0.18,-1.361,0.584,0.7070000000000001,1.4509999999999998,1.07,0.62,1.13,0.9,0.061,0.95,0.74,0.52,0.34,0.47,0.41,0.21,11.68,5.8,8.38,3.24,8.337405661263102,,,,
3/1/2018,8068.234,-0.9,-0.8740000000000001,-0.902,-0.7559999999999999,-0.5820000000000001,0.7040000000000001,0.9209999999999999,-1.168,-1.963,-1.253,-0.017,-1.357,0.8540000000000001,0.977,1.7990000000000002,1.07,0.61,1.13,0.9,0.07400000000000001,1.02,0.81,0.7,0.47,0.66,0.45,0.34,5.11,2.69,6.46,3.28,8.995689902124012,,,,
4/1/2018,8441.199,-0.9470000000000001,-0.836,-0.86,-0.6779999999999999,-0.479,0.943,0.958,-1.082,-1.567,-0.9359999999999999,0.364,-0.8370000000000001,1.192,1.4669999999999999,2.171,1.03,0.58,1.09,0.86,0.179,1.13,0.94,0.81,0.58,0.74,0.65,0.4,2.35,2.45,5.06,3.41,9.040879639111582,,,,
5/1/2018,8008.76,-0.9490000000000001,-0.784,-0.8190000000000001,-0.632,-0.37200000000000005,0.8109999999999999,0.9440000000000001,-1.341,-1.564,-0.992,0.057,-0.922,0.705,0.9590000000000001,1.599,1.02,0.57,1.08,0.85,0.293,1.0,0.75,0.65,0.41,0.49,0.42,0.28,9.03,4.1,6.41,3.63,8.988291221586758,,,,
6/1/2018,7166.638000000001,-0.8440000000000001,-0.754,-0.755,-0.569,-0.249,0.645,0.995,-0.715,-1.7930000000000001,-0.846,0.37799999999999995,-0.687,1.14,1.3840000000000001,2.345,1.11,0.62,1.18,0.94,0.139,1.01,0.82,0.7,0.46,0.55,0.48,0.32,8.6,2.45,6.9,3.78,8.877191925439645,,,,
7/1/2018,6538.528,-0.943,-0.823,-0.741,-0.529,-0.196,0.63,1.006,-0.23600000000000002,-0.28600000000000003,0.191,1.3969999999999998,0.08900000000000001,2.0780000000000003,2.392,1.781,1.2,0.67,1.28,1.02,0.038,0.92,0.72,0.62,0.39,0.53,0.46,0.27,6.04,2.44,5.8,3.82,8.78546734266514,,,-1.6554818509355071,-2.419118909249997
8/1/2018,5782.5419999999995,-1.093,-1.015,-0.8440000000000001,-0.6990000000000001,-0.528,0.51,0.902,-0.425,-0.532,0.209,1.084,-0.124,1.899,2.218,1.699,1.18,0.68,1.27,1.0,0.03,1.09,0.88,0.76,0.46,0.65,0.56,0.34,2.64,7.96,6.36,3.93,8.662598657373639,,,-1.565421027017326,
9/1/2018,5373.191999999999,-1.245,-1.256,-1.0090000000000001,-0.948,-0.7909999999999999,0.19699999999999998,0.612,-0.355,-0.22399999999999998,0.736,1.561,0.191,2.4130000000000003,2.6439999999999997,1.6159999999999999,1.22,0.7,1.31,1.05,0.006999999999999999,0.98,0.81,0.7,0.49,0.69,0.6,0.37,1.79,3.23,1.95,4.11,8.589177424317057,,,-0.3065251602532608,-1.6554818509355071
10/1/2018,4065.9759999999997,-1.548,-1.2329999999999999,-1.031,-0.935,-0.828,0.228,0.565,-0.099,-0.113,1.0,1.5959999999999999,0.282,2.506,2.739,1.5330000000000001,1.18,0.67,1.27,1.01,-0.017,0.95,0.81,0.7,0.53,0.64,0.55,0.38,0.32,2.82,3.72,3.76,8.310409091563887,,,0.0,-1.2658482080440236
11/1/2018,4493.782999999999,-1.3559999999999999,-1.045,-0.9670000000000001,-0.8420000000000001,-0.531,0.31,0.633,-0.271,-1.024,0.158,0.69,-0.622,1.5430000000000001,1.515,1.45,1.11,0.65,1.18,0.93,-0.053,0.71,0.55,0.46,0.31,0.4,0.34,0.22,0.0,2.81,2.62,3.79,8.410450164975078,,,-1.8451602459551701,
12/1/2018,2420.002,-1.2690000000000001,-1.024,-0.948,-0.807,-0.598,0.321,0.605,-0.948,-1.765,-0.575,-0.114,-0.997,0.667,0.7709999999999999,1.367,1.04,0.61,1.1,0.86,-0.021,0.7,0.55,0.55,0.35,0.47,0.41,0.25,0.0,6.3,2.28,3.89,7.791523645596672,,,,
1/1/2019,2039.9225,-1.215,-1.067,-0.9670000000000001,-0.83,-0.634,0.359,0.626,-1.091,-1.83,-1.012,-0.19,-1.317,0.35700000000000004,0.49200000000000005,1.2570000000000001,0.84,0.48,0.87,0.67,-0.025,0.73,0.58,0.58,0.41,0.54,0.47,0.3,0.0,8.3,3.1,3.73,7.620667095920538,,,,
2/1/2019,4907.436,-1.1520000000000001,-1.074,-0.983,-0.841,-0.561,0.504,0.628,-0.9420000000000001,-1.7590000000000001,-0.932,-0.073,-1.139,0.41600000000000004,0.579,1.25,0.92,0.52,0.96,0.75,0.371,0.76,0.61,0.74,0.5,0.67,0.58,0.37,0.2,4.4,9.1,3.72,8.498506884802206,,,,
3/1/2019,5818.105,-1.1059999999999999,-0.94,-0.971,-0.754,-0.537,0.669,0.659,-0.92,-1.574,-0.904,-0.193,-1.072,0.336,0.512,1.3030000000000002,1.02,0.58,1.08,0.85,0.7,0.78,0.64,0.7,0.49,0.69,0.6,0.36,2.8,5.0,7.0,3.85,8.668729886331276,,,,
4/1/2019,6171.326,-1.13,-0.987,-0.9109999999999999,-0.746,-0.596,0.461,0.655,-0.9990000000000001,-1.535,-0.966,-0.344,-1.129,0.23,0.414,1.1320000000000001,1.06,0.6,1.13,0.9,0.064,0.81,0.67,0.56,0.36,0.47,0.41,0.27,2.9,2.0,4.0,3.9,8.727669004668398,,,,
5/1/2019,6049.93,-1.11,-0.956,-0.9359999999999999,-0.68,-0.537,0.63,0.609,-0.695,-1.202,-0.69,0.085,-0.823,0.78,0.9790000000000001,0.255,1.08,0.61,1.15,0.9,0.03,0.85,0.7,0.58,0.34,0.48,0.42,0.26,2.8,5.4,2.2,4.0,8.707801980710018,,,,
6/1/2019,6312.6605,-1.139,-0.955,-0.9540000000000001,-0.669,-0.6509999999999999,0.7120000000000001,0.644,-0.551,-1.2990000000000002,-0.6679999999999999,0.228,-0.8490000000000001,1.0090000000000001,1.121,0.74,1.07,0.6,1.14,0.9,0.12300000000000001,0.87,0.73,0.68,0.36,0.4,0.34,0.25,1.9,15.4,3.9,3.86,8.75031249900296,,,,
7/1/2019,4848.786,-1.025,-0.8590000000000001,-0.868,-0.6509999999999999,-0.58,0.7440000000000001,0.76,-0.544,-1.331,-0.631,0.217,-0.841,0.7959999999999999,0.9470000000000001,1.226,1.27,0.74,1.36,1.04,-0.005,0.9,0.83,0.69,0.44,0.38,0.33,0.3,3.0,19.7,2.3,3.78,8.486483643320582,,,,
8/1/2019,3479.5025,-1.1440000000000001,-0.875,-0.8420000000000001,-0.64,-0.58,0.547,0.688,-0.155,-0.857,-0.384,0.344,-0.299,1.247,1.376,1.712,1.33,0.79,1.42,1.08,-0.049,0.93,0.85,0.69,0.49,0.47,0.41,0.36,6.2,14.7,3.0,4.03,8.154644602778683,,,,
9/1/2019,3596.9245,-1.2229999999999999,-1.008,-0.857,-0.701,-0.737,0.221,0.478,-0.371,-0.96,-0.28800000000000003,0.044000000000000004,-0.386,1.002,1.1840000000000002,1.581,1.26,0.73,1.35,1.02,-0.07,0.72,0.65,0.55,0.43,0.5,0.43,0.35,1.1,4.0,3.6,4.12,8.187834453761687,,,,
10/1/2019,4529.0295,-1.032,-0.875,-0.812,-0.778,-0.7070000000000001,0.27,0.807,-0.693,-1.115,-0.62,-0.054000000000000006,-0.6629999999999999,0.873,0.8909999999999999,1.5390000000000001,1.09,0.66,1.14,0.85,0.040999999999999995,0.7,0.64,0.52,0.37,0.52,0.45,0.28,2.2,1.2,3.4,4.09,8.418262957114157,,,,
11/1/2019,3826.257,-0.9590000000000001,-0.778,-0.624,-0.6859999999999999,-0.456,0.409,0.8170000000000001,-0.43200000000000005,-0.742,-0.23600000000000002,0.191,-0.29,0.9690000000000001,0.956,0.2,0.92,0.54,0.95,0.69,-0.002,0.77,0.62,0.53,0.32,0.37,0.32,0.24,1.5,1.7,2.0,4.16,8.249642319725442,,,,
12/1/2019,2425.527,-1.025,-0.722,-0.5710000000000001,-0.583,-0.345,0.574,0.826,-0.07200000000000001,-0.614,0.08900000000000001,0.183,-0.11599999999999999,0.9159999999999999,0.7829999999999999,1.5919999999999999,0.97,0.54,1.01,0.74,-0.17,0.77,0.57,0.46,0.28,0.35,0.3,0.21,0.0,0.7,2.0,4.11,7.793804099348732,,,-2.419118909249997,
