Date,USG to China,PNW to China,Brazil Panama Canal to China,Brazil Cape Hope to China
1/31/2010,1.565969954,0.803668626,1.850642282,1.578761158
2/28/2010,1.593729589,0.779719138,1.884933595,1.610603092
3/31/2010,1.649248857,0.825713042,1.951883301,1.673742652
4/30/2010,1.712116264,0.863270194,2.029719138,1.742597431
5/31/2010,1.757565861,0.858099282,2.080611801,1.790224254
6/30/2010,1.369475288,0.732636621,1.612508165,1.364848683
7/31/2010,1.359677771,0.669224907,1.60216634,1.356956238
8/31/2010,1.432887002,0.921510995,1.689799695,1.431798389
9/30/2010,1.345797953,0.639832354,1.585837143,1.339266275
10/31/2010,1.300620509,0.659155236,1.532222948,1.290550838
11/30/2010,1.309873721,0.635205748,1.544469845,1.304430655
12/31/2010,1.227139125,0.59465491,1.445678206,1.210809928
1/31/2011,1.138145003,0.483616373,1.340627041,1.109024603
2/28/2011,1.310690181,0.588395384,1.553450904,1.304430655
3/31/2011,1.348247333,0.633572828,1.599989114,1.34634226
4/30/2011,1.254626606,0.579958633,1.48922273,1.243468321
5/31/2011,1.301436969,0.78652297,1.544197692,1.295993904
6/30/2011,1.26415197,0.574243414,1.499292401,1.257348138
7/31/2011,1.26823427,0.55981929,1.505551927,1.26415197
8/31/2011,1.276398868,0.580502939,1.515621598,1.269867189
9/30/2011,1.296266057,0.57560418,1.536305247,1.289190072
10/31/2011,1.367570216,0.581591552,1.624482909,1.372741128
11/30/2011,1.352057479,0.552471152,1.605704333,1.355867625
12/31/2011,1.326475071,0.726921402,1.573590246,1.326202917
1/31/2012,1.103037231,0.431635097,1.307152188,1.080720662
2/29/2012,1.097049858,0.477084694,1.301709123,1.081264968
3/31/2012,1.193392118,0.506477248,1.418462878,1.181145221
4/30/2012,1.341715654,0.560091444,1.596451121,1.338721968
5/31/2012,1.078271282,0.461571957,1.272588722,1.053233181
6/30/2012,1.069562378,0.394622251,1.260069671,1.044796429
7/31/2012,1.106575223,0.43435663,1.307968648,1.081264968
8/31/2012,1.100587851,0.408502068,1.303614196,1.073372523
9/30/2012,0.955802308,0.394622251,1.127258872,0.916612236
10/31/2012,1.030916612,0.421021119,1.215436534,0.999618985
11/30/2012,1.04153059,0.426192031,1.227955585,1.007783584
12/31/2012,0.979751796,0.530154583,1.152569127,0.940833878
1/31/2013,1.035271065,0.40033747,1.223328979,0.996353146
2/28/2013,1.069562378,0.430818637,1.263335511,1.037176138
3/31/2013,1.128347485,0.46266057,1.334095363,1.104397997
4/30/2013,1.05813194,0.450685826,1.248094927,1.02329632
5/31/2013,0.979751796,0.433268017,1.15284128,0.938656651
6/30/2013,1.0589484,0.415850207,1.24836708,1.02411278
7/31/2013,1.103581537,0.418299586,1.303886349,1.070650991
8/31/2013,1.044524276,0.419660353,1.232310037,1.01159373
9/30/2013,1.281841933,0.521717831,1.518343131,1.270683649
10/31/2013,1.259525365,0.495591117,1.49085565,1.246734161
11/30/2013,1.280481167,0.473818855,1.515893751,1.270411496
12/31/2013,1.327563684,0.748693664,1.572773786,1.319671239
1/31/2014,1.208088395,0.651807098,1.427443936,1.12290442
2/28/2014,1.063030699,0.72093403,1.252721533,0.971042891
3/31/2014,1.032549532,0.701066841,1.21598084,0.939200958
4/30/2014,1.01077727,0.625136077,1.189581973,0.916067929
5/31/2014,1.003156978,0.604996734,1.180600914,0.908447638
6/30/2014,0.897289353,0.516002613,1.053505334,0.827890268
7/31/2014,0.930764206,0.510559547,1.092967559,0.859460048
8/31/2014,1.033910298,0.550566079,1.217069454,0.970226432
9/30/2014,0.996625299,0.585673852,1.17025909,0.929947747
10/31/2014,0.991182234,0.679294579,1.158284346,0.920422382
11/30/2014,0.911713477,0.589756151,1.058404093,0.852928369
12/31/2014,0.775092532,0.509198781,0.888308295,0.667047681
1/31/2015,0.617787938,0.377204442,0.695079469,0.518996299
2/28/2015,0.680111039,0.458850425,0.775092532,0.584313085
3/31/2015,0.676300893,0.397615937,0.768016547,0.582408012
4/30/2015,0.731275855,0.406324842,0.837687786,0.642281733
5/31/2015,0.668136294,0.413400827,0.760940562,0.575876334
6/30/2015,0.760396255,0.443337688,0.871706945,0.67194644
7/31/2015,0.78407359,0.415850207,0.897289353,0.694535162
8/31/2015,0.731003701,0.386729806,0.829523187,0.646636185
9/30/2015,0.648541258,0.388907032,0.730187241,0.552471152
10/31/2015,0.658338776,0.365501851,0.742434139,0.560091444
11/30/2015,0.559547137,0.331210538,0.621870237,0.455312432
12/31/2015,0.51409754,0.313792728,0.563901589,0.401426083
1/31/2016,0.464837797,0.27324189,0.505116482,0.353254953
2/29/2016,0.471097322,0.291476159,0.511920314,0.359514479
3/31/2016,0.523350751,0.330394078,0.575876334,0.4153059
4/30/2016,0.606357501,0.357881559,0.679022425,0.504300022
5/31/2016,0.59302199,0.351077727,0.663781842,0.490420205
6/30/2016,0.646636185,0.374755062,0.729642935,0.547300239
7/31/2016,0.624863923,0.375299369,0.701611147,0.523350751
8/31/2016,0.652351404,0.372305683,0.736446767,0.553015458
9/30/2016,0.681743958,0.396255171,0.772915306,0.584585238
10/31/2016,0.716579578,0.430274331,0.815371217,0.621053777
11/30/2016,0.868985413,0.455040279,1.000163292,0.780807751
12/31/2016,0.747060745,0.427824951,0.855377749,0.652623558
1/31/2017,0.777269758,0.427824951,0.891029828,0.683649031
2/28/2017,0.786250816,0.471369475,0.902460266,0.693446549
3/31/2017,0.856738515,0.514369693,0.985467015,0.765839321
4/30/2017,0.816731983,0.481983453,0.937295885,0.723927716
5/31/2017,0.741617679,0.417483126,0.847485304,0.646091879
6/30/2017,0.81890921,0.446331374,0.940017418,0.726377096
7/31/2017,0.828978881,0.449869366,0.953352928,0.736991073
8/31/2017,0.870346179,0.474091008,1.002884825,0.781079904
9/30/2017,1.009688657,0.567983889,1.055954714,0.826801655
10/31/2017,1.053233181,0.586218158,1.104397997,0.868985413
11/30/2017,1.036631831,0.594382756,1.093239713,0.861092968
12/31/2017,1.051600261,0.598737209,1.112018289,0.879327237
1/31/2018,1.069290224,0.610167646,1.132701938,0.889669062
2/28/2018,1.07146745,0.616971478,1.133518398,0.89946658
3/31/2018,1.07146745,0.6104398,1.134334857,0.8970172
4/30/2018,1.030916612,0.582680165,1.090790333,0.858643588
5/31/2018,1.016764642,0.57478772,1.077726976,0.84721315
6/30/2018,1.106030917,0.62295885,1.180873068,0.940561724
7/31/2018,1.196113651,0.674667973,1.283474853,1.020030481
8/31/2018,1.180873068,0.682560418,1.265240583,1.004789898
9/30/2018,1.221423906,0.697528848,1.312867407,1.052416721
10/31/2018,1.181145221,0.674667973,1.268778576,1.011049423
11/30/2018,1.10793599,0.645275419,1.176246462,0.927226214
12/31/2018,1.04397997,0.605541041,1.098682778,0.861909427
1/31/2019,0.841225778,0.477356847,0.873612018,0.671674287
2/28/2019,0.916884389,0.517363379,0.96260614,0.747332898
3/31/2019,1.020030481,0.581047246,1.079632049,0.852111909
4/30/2019,1.064663619,0.599009362,1.132157631,0.895928587
5/31/2019,1.079359895,0.6104398,1.145765295,0.898105813
6/30/2019,1.07146745,0.596015676,1.136784237,0.901643806
7/31/2019,1.272044415,0.742978445,1.36294361,1.038809057
8/31/2019,1.330829523,0.789788809,1.423361637,1.081809275
9/30/2019,1.261702591,0.733180927,1.353962552,1.023840627
10/31/2019,1.085347268,0.656433703,1.141410843,0.851023296
11/30/2019,0.916067929,0.5440344,0.94763771,0.692357936
12/31/2019,0.965871979,0.539407794,1.008055737,0.741345526
1/31/2020,0.80230786,0.453135206,0.822175049,0.588939691
